ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age Brackets,Purchased Bike
11000,Married,Male,90000,2,Bachelors,Professional,Yes,0,1-2 Miles,Pacific,40,Middle Age,Yes
11047,Married,Female,30000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,56,Old,Yes
11061,Married,Male,70000,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Middle Age,Yes
11090,Single,Male,90000,2,Partial College,Professional,Yes,1,2-5 Miles,North America,48,Middle Age,Yes
11116,Married,Male,70000,5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,43,Middle Age,No
11139,Single,Female,30000,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,67,Old,No
11143,Married,Male,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,29,Adolescent,No
11147,Married,Male,60000,2,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,67,Old,Yes
11149,Married,Male,40000,2,Bachelors,Management,Yes,2,0-1 Miles,Pacific,65,Old,No
11165,Married,Female,60000,0,Partial College,Skilled Manual,No,1,1-2 Miles,North America,33,Middle Age,No
11199,Married,Female,70000,4,Bachelors,Management,Yes,1,Over 10 Miles,North America,59,Old,No
11200,Married,Male,70000,4,Bachelors,Management,Yes,1,1-2 Miles,North America,58,Old,No
11219,Married,Male,60000,2,High School,Professional,Yes,2,Over 10 Miles,North America,55,Middle Age,No
11225,Married,Female,60000,2,Partial College,Professional,Yes,1,Over 10 Miles,North America,55,Middle Age,No
11233,Married,Male,70000,4,Partial College,Professional,Yes,2,Over 10 Miles,North America,53,Middle Age,No
11249,Married,Female,130000,3,Partial College,Professional,Yes,3,0-1 Miles,Europe,51,Middle Age,Yes
11255,Married,Male,70000,4,Graduate Degree,Management,Yes,2,5-10 Miles,North America,73,Old,No
11259,Married,Female,100000,4,Partial College,Professional,Yes,4,2-5 Miles,North America,41,Middle Age,Yes
11262,Married,Female,80000,4,Bachelors,Management,Yes,0,0-1 Miles,North America,42,Middle Age,No
11269,Married,Male,130000,2,Graduate Degree,Management,Yes,2,0-1 Miles,North America,41,Middle Age,No
11270,Married,Male,130000,2,Graduate Degree,Management,Yes,3,0-1 Miles,North America,42,Middle Age,Yes
11275,Married,Female,80000,4,Graduate Degree,Management,Yes,2,0-1 Miles,North America,72,Old,Yes
11287,Married,Male,70000,5,Partial College,Professional,No,3,5-10 Miles,North America,45,Middle Age,No
11292,Single,Male,150000,1,Partial College,Professional,No,3,0-1 Miles,North America,44,Middle Age,Yes
11303,Single,Female,90000,4,High School,Professional,No,3,1-2 Miles,North America,45,Middle Age,Yes
